GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Gene_name,NR_ID,NR_annotation,GO_ID,GO_term,KO_ID,KO_gene,KO_Hyperlink,KEGG_Pathway,Pathway_ID,KOG_ID,KOG_annotation,Swiss-Prot_ID,Swiss-Prot_annotation
AREG,1234,4.68,4.31,4.7,19.64,18.25,19.1,-1.990472417,5.82E-29,5.82E-29,AREG,NP_001648.1,amphiregulin preproprotein [Homo sapiens],GO:0005615;GO:0000165;GO:0005634;GO:0007267;GO:0008083;GO:0010838;GO:0060750;GO:0012507;GO:0009986;GO:0016021;GO:0060598;GO:0007173;GO:0007165;GO:0007186;GO:0005789;GO:0045741;GO:0060744;GO:0033116;GO:0048208;GO:0042059;GO:0051897;GO:0060749;GO:0030669;GO:0005125;GO:0005576;GO:0061024;GO:0005737;GO:0008284;GO:0005154;GO:0006888;GO:0032355,extracellular space;MAPK cascade;nucleus;cell-cell signaling;growth factor activity;positive regulation of keratinocyte proliferation;epithelial cell proliferation involved in mammary gland duct elongation;ER to Golgi transport vesicle membrane;cell surface;integral component of membrane;dichotomous subdivision of terminal units involved in mammary gland duct morphogenesis;epidermal growth factor receptor signaling pathway;signal transduction;G protein-coupled receptor signaling pathway;endoplasmic reticulum membrane;positive regulation of epidermal growth factor-activated receptor activity;mammary gland branching involved in thelarche;endoplasmic reticulum-Golgi intermediate compartment membrane;COPII vesicle coating;negative regulation of epidermal growth factor receptor signaling pathway;positive regulation of protein kinase B signaling;mammary gland alveolus development;clathrin-coated endocytic vesicle membrane;cytokine activity;extracellular region;membrane organization;cytoplasm;positive regulation of cell population proliferation;epidermal growth factor receptor binding;endoplasmic reticulum to Golgi vesicle-mediated transport;response to estradiol,K09782,AREG,http://www.genome.jp/dbget-bin/www_bget?ko:K09782,ErbB signaling pathway;Hippo signaling pathway;MAPK signaling pathway;PI3K-Akt signaling pathway;Colorectal cancer,"ko04012,ko04390,ko04010,ko04151,ko05210",-,-,sp|P15514|AREG_HUMAN,Amphiregulin OS=Homo sapiens OX=9606 GN=AREG PE=1 SV=2
ARHGEF17-AS1,1419,1.16,1.4,1.21,0.68,0.76,0.47,1.057723383,0.049267006,0.049267006,ARHGEF17-AS1,-,-,-,-,-,-,-,-,-,-,-,-,-
LINC00641,4362,0.77,0.6,1.06,2,1.76,2.77,-1.167555002,3.45E-06,3.45E-06,LINC00641,-,-,-,-,-,-,-,-,-,-,-,-,-
ATAD5,6496,0.47,0.45,0.51,1.19,1.27,1.03,-1.176994477,7.91E-06,7.91E-06,ATAD5,NP_079133.3;BAB14248.1;XP_011523572.1;XP_011523575.1;XP_011523571.1,ATPase family AAA domain-containing protein 5 [Homo sapiens];unnamed protein product [Homo sapiens];ATPase family AAA domain-containing protein 5 isoform X2 [Homo sapiens];ATPase family AAA domain-containing protein 5 isoform X3 [Homo sapiens];ATPase family AAA domain-containing protein 5 isoform X1 [Homo sapiens],GO:0090305;GO:0006974;GO:1901990;GO:0090618;GO:0005524;GO:0042770;GO:0061860;GO:0030890;GO:1902751;GO:0045190;GO:0033260;GO:1902166;GO:0048304;GO:0003677;GO:0031391;GO:0045740;GO:0008283;GO:0005634;GO:0042771;GO:0016887,nucleic acid phosphodiester bond hydrolysis;cellular response to DNA damage stimulus;regulation of mitotic cell cycle phase transition;DNA clamp unloading;ATP binding;signal transduction in response to DNA damage;DNA clamp unloader activity;positive regulation of B cell proliferation;positive regulation of cell cycle G2/M phase transition;isotype switching;nuclear DNA replication;negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;positive regulation of isotype switching to IgG isotypes;DNA binding;Elg1 RFC-like complex;positive regulation of DNA replication;cell population proliferation;nucleus;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;ATP hydrolysis activity,-,-,-,-,-,KOG1968,"Replication factor C, subunit RFC1 (large subunit)",sp|Q96QE3|ATAD5_HUMAN,ATPase family AAA domain-containing protein 5 OS=Homo sapiens OX=9606 GN=ATAD5 PE=1 SV=4
WNT9A,4004,0.15,0.05,0.16,0.46,0.38,0.15,-1.361966442,0.049460894,0.049460894,WNT9A,NP_003386.1,protein Wnt-9a precursor [Homo sapiens],GO:0048018;GO:0005102;GO:0016055;GO:0007275;GO:0008285;GO:0005576;GO:0060070,receptor ligand activity;signaling receptor binding;Wnt signaling pathway;multicellular organism development;negative regulation of cell population proliferation;extracellular region;canonical Wnt signaling pathway,K01064,WNT9,http://www.genome.jp/dbget-bin/www_bget?ko:K01064,Signaling pathways regulating pluripotency of stem cells;Hippo signaling pathway;Wnt signaling pathway;mTOR signaling pathway;Pathways in cancer;Proteoglycans in cancer;Basal cell carcinoma;Breast cancer;Gastric cancer;Hepatocellular carcinoma;Cushing syndrome;Human papillomavirus infection;Alzheimer disease;Pathways of neurodegeneration - multiple diseases;Melanogenesis,"ko04550,ko04390,ko04310,ko04150,ko05200,ko05205,ko05217,ko05224,ko05226,ko05225,ko04934,ko05165,ko05010,ko05022,ko04916",-,-,sp|O14904|WNT9A_HUMAN,Protein Wnt-9a OS=Homo sapiens OX=9606 GN=WNT9A PE=1 SV=2
SCG2,2434,0.51,0.72,0.62,1.8,1.82,1.85,-1.502836522,2.13E-05,2.13E-05,SCG2,XP_011918103.1,PREDICTED: secretogranin-2 [Cercocebus atys],GO:0048245;GO:0044267;GO:0005125;GO:0005576;GO:0098992;GO:0043687;GO:0030141;GO:0050918;GO:2001237;GO:0001937;GO:0006954;GO:0005615;GO:0035556;GO:0000165;GO:0001525;GO:0009306;GO:0043542;GO:2000352;GO:0050930;GO:0005788;GO:0001938;GO:0042056,eosinophil chemotaxis;cellular protein metabolic process;cytokine activity;extracellular region;neuronal dense core vesicle;post-translational protein modification;secretory granule;positive chemotaxis;negative regulation of extrinsic apoptotic signaling pathway;negative regulation of endothelial cell proliferation;inflammatory response;extracellular space;intracellular signal transduction;MAPK cascade;angiogenesis;protein secretion;endothelial cell migration;negative regulation of endothelial cell apoptotic process;induction of positive chemotaxis;endoplasmic reticulum lumen;positive regulation of endothelial cell proliferation;chemoattractant activity,-,-,-,-,-,-,-,sp|P13521|SCG2_HUMAN,Secretogranin-2 OS=Homo sapiens OX=9606 GN=SCG2 PE=1 SV=2
CCL2,741,79.19,79.98,81.66,25.35,25.8,29.03,1.653339896,1.48E-42,1.48E-42,CCL2,XP_003933076.2,PREDICTED: C-C motif chemokine 2 [Saimiri boliviensis boliviensis],GO:0007166;GO:0036499;GO:0048245;GO:2000502;GO:0005576;GO:0019079;GO:0007155;GO:0071407;GO:0051968;GO:2000353;GO:1904783;GO:0006959;GO:0019221;GO:0043615;GO:0006955;GO:0031663;GO:0044344;GO:0007187;GO:0043491;GO:0030593;GO:0008009;GO:0071356;GO:0006954;GO:0006468;GO:0008360;GO:0043524;GO:0034351;GO:0009617;GO:0007259;GO:0001525;GO:0048246;GO:0048020;GO:0000165;GO:0090280;GO:0048247;GO:0031727;GO:0019233;GO:0007010;GO:2000427;GO:1905563;GO:0071222;GO:0005615;GO:0070098;GO:0043547;GO:0005102;GO:0071347;GO:0051770;GO:0070374;GO:0006935;GO:0009887;GO:0002548;GO:0004672;GO:2000134;GO:0071346;GO:0007165;GO:0007186;GO:0035684;GO:0050870;GO:0019725,"cell surface receptor signaling pathway;PERK-mediated unfolded protein response;eosinophil chemotaxis;negative regulation of natural killer cell chemotaxis;extracellular region;viral genome replication;cell adhesion;cellular response to organic cyclic compound;positive regulation of synaptic transmission, glutamatergic;positive regulation of endothelial cell apoptotic process;positive regulation of NMDA glutamate receptor activity;humoral immune response;cytokine-mediated signaling pathway;astrocyte cell migration;immune response;lipopolysaccharide-mediated signaling pathway;cellular response to fibroblast growth factor stimulus;G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger;protein kinase B signaling;neutrophil chemotaxis;chemokine activity;cellular response to tumor necrosis factor;inflammatory response;protein phosphorylation;regulation of cell shape;negative regulation of neuron apoptotic process;negative regulation of glial cell apoptotic process;response to bacterium;receptor signaling pathway via JAK-STAT;angiogenesis;macrophage chemotaxis;CCR chemokine receptor binding;MAPK cascade;positive regulation of calcium ion import;lymphocyte chemotaxis;CCR2 chemokine receptor binding;sensory perception of pain;cytoskeleton organization;positive regulation of apoptotic cell clearance;negative regulation of vascular endothelial cell proliferation;cellular response to lipopolysaccharide;extracellular space;chemokine-mediated signaling pathway;positive regulation of GTPase activity;signaling receptor binding;cellular response to interleukin-1;positive regulation of nitric-oxide synthase biosynthetic process;positive regulation of ERK1 and ERK2 cascade;chemotaxis;animal organ morphogenesis;monocyte chemotaxis;protein kinase activity;negative regulation of G1/S transition of mitotic cell cycle;cellular response to interferon-gamma;signal transduction;G protein-coupled receptor signaling pathway;helper T cell extravasation;positive regulation of T cell activation;cellular homeostasis",K14624,"CCL2,MCP1",http://www.genome.jp/dbget-bin/www_bget?ko:K14624,TNF signaling pathway;Cytokine-cytokine receptor interaction;Viral protein interaction with cytokine and cytokine receptor;Fluid shear stress and atherosclerosis;Lipid and atherosclerosis;AGE-RAGE signaling pathway in diabetic complications;Rheumatoid arthritis;Yersinia infection;Chagas disease;Malaria;Coronavirus disease - COVID-19;Herpes simplex virus 1 infection;Human cytomegalovirus infection;Influenza A;Chemokine signaling pathway;IL-17 signaling pathway;NOD-like receptor signaling pathway,"ko04668,ko04060,ko04061,ko05418,ko05417,ko04933,ko05323,ko05135,ko05142,ko05144,ko05171,ko05168,ko05163,ko05164,ko04062,ko04657,ko04621",-,-,sp|P13500|CCL2_HUMAN,C-C motif chemokine 2 OS=Homo sapiens OX=9606 GN=CCL2 PE=1 SV=1
GASK1B,4752,3.16,1.74,2.6,1.19,0.72,0.73,1.593596881,6.65E-09,6.65E-09,GASK1B,NP_001121896.1;NP_001026870.2,Golgi-associated kinase 1B isoform 2 [Homo sapiens];Golgi-associated kinase 1B isoform 1 [Homo sapiens],GO:0016020;GO:0016021;GO:0005794;GO:0000139,membrane;integral component of membrane;Golgi apparatus;Golgi membrane,-,-,-,-,-,-,-,sp|Q6UWH4|GAK1B_HUMAN,Golgi-associated kinase 1B OS=Homo sapiens OX=9606 GN=GASK1B PE=2 SV=1
ROR1,4807,4.05,2.6,3.45,1.14,1.74,1.84,1.294989909,3.58E-11,3.58E-11,ROR1,NP_001077061.1;AAI28387.1;XP_016856865.1,"inactive tyrosine-protein kinase transmembrane receptor ROR1 isoform 2 precursor [Homo sapiens];ROR1 protein, partial [Homo sapiens];inactive tyrosine-protein kinase transmembrane receptor ROR1 isoform X1 [Homo sapiens]",GO:0005886;GO:0033674;GO:0005524;GO:0007275;GO:0007605;GO:0014002;GO:0043235;GO:0005737;GO:0007169;GO:1904929;GO:0010976;GO:0048839;GO:0043679;GO:0043123;GO:0017147;GO:0009986;GO:0014068;GO:0001725;GO:0016301;GO:0000166;GO:0005887;GO:0016020;GO:0043410;GO:0042813;GO:0051092;GO:0016021;GO:0004672;GO:0004714,"plasma membrane;positive regulation of kinase activity;ATP binding;multicellular organism development;sensory perception of sound;astrocyte development;receptor complex;cytoplasm;transmembrane receptor protein tyrosine kinase signaling pathway;coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway;positive regulation of neuron projection development;inner ear development;axon terminus;positive regulation of I-kappaB kinase/NF-kappaB signaling;Wnt-protein binding;cell surface;positive regulation of phosphatidylinositol 3-kinase signaling;stress fiber;kinase activity;nucleotide binding;integral component of plasma membrane;membrane;positive regulation of MAPK cascade;Wnt-activated receptor activity;positive regulation of NF-kappaB transcription factor activity;integral component of membrane;protein kinase activity;transmembrane receptor protein tyrosine kinase activity",K05122,"ROR1,NTRKR1",http://www.genome.jp/dbget-bin/www_bget?ko:K05122,Wnt signaling pathway,ko04310,KOG1026,Nerve growth factor receptor TRKA and related tyrosine kinases,sp|Q01973|ROR1_HUMAN,Inactive tyrosine-protein kinase transmembrane receptor ROR1 OS=Homo sapiens OX=9606 GN=ROR1 PE=1 SV=2
RNF217-AS1,1205,1.29,1.7,1.11,0.4,0.11,0.5,1.944915091,0.003700837,0.003700837,RNF217-AS1,XP_047274204.1,E3 ubiquitin-protein ligase RNF217 isoform X11 [Homo sapiens] &gt;XP_054210350.1 E3 ubiquitin-protein ligase RNF217 isoform X11 [Homo sapiens],-,-,-,-,-,-,-,-,-,sp|Q8TC41|RN217_HUMAN,E3 ubiquitin-protein ligase RNF217 OS=Homo sapiens OX=9606 GN=RNF217 PE=1 SV=4
COMTD1,899,2.07,2.84,4.59,2.46,1.07,1.72,1.051916167,0.013080319,0.013080319,COMTD1,NP_653190.2;XP_055209348.1,catechol O-methyltransferase domain-containing protein 1 [Homo sapiens];catechol O-methyltransferase domain-containing protein 1 isoform X3 [Gorilla gorilla gorilla],GO:0016021;GO:0008757;GO:0032259;GO:0008171,integral component of membrane;S-adenosylmethionine-dependent methyltransferase activity;methylation;O-methyltransferase activity,-,-,-,-,-,-,-,sp|Q86VU5|CMTD1_HUMAN,Catechol O-methyltransferase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=COMTD1 PE=1 SV=1
HECW2-AS1,1417,0.63,0.66,0.85,0.98,2.41,2.14,-1.301415502,0.011961252,0.011961252,HECW2-AS1,-,-,-,-,-,-,-,-,-,-,-,-,-
CLEC3B,816,7.17,5.85,8.04,2.09,1.56,2.81,1.774800665,4.20E-06,4.20E-06,CLEC3B,NP_003269.2;XP_009443614.1,tetranectin isoform 1precursor [Homo sapiens];tetranectin isoform X2 [Pan troglodytes],GO:0008201;GO:0005537;GO:0071310;GO:0010756;GO:0062023;GO:0005615;GO:0002576;GO:0030282;GO:0005737;GO:0005509;GO:0045087;GO:0001503;GO:0071560;GO:0005576;GO:0001652;GO:0031089;GO:0030246;GO:0036143;GO:0070062,heparin binding;mannose binding;cellular response to organic substance;positive regulation of plasminogen activation;collagen-containing extracellular matrix;extracellular space;platelet degranulation;bone mineralization;cytoplasm;calcium ion binding;innate immune response;ossification;cellular response to transforming growth factor beta stimulus;extracellular region;granular component;platelet dense granule lumen;carbohydrate binding;kringle domain binding;extracellular exosome,K17520,CLEC3B,http://www.genome.jp/dbget-bin/www_bget?ko:K17520,-,-,KOG4297,C-type lectin,sp|P05452|TETN_HUMAN,Tetranectin OS=Homo sapiens OX=9606 GN=CLEC3B PE=1 SV=3
DHRS3,1979,3.87,4.49,5.98,2.04,3.52,1.79,1.004360725,0.00048641,0.00048641,DHRS3,XP_012518050.1;XP_015298057.1;NP_004744.2;XP_018866883.1;XP_006711099.1,PREDICTED: short-chain dehydrogenase/reductase 3 isoform X2 [Propithecus coquereli];PREDICTED: short-chain dehydrogenase/reductase 3 isoform X3 [Macaca fascicularis];short-chain dehydrogenase/reductase 3 isoform 1 [Homo sapiens];short-chain dehydrogenase/reductase 3 isoform X1 [Gorilla gorilla gorilla];short-chain dehydrogenase/reductase 3 isoform X2 [Homo sapiens],GO:0003151;GO:0005811;GO:0007601;GO:0042572;GO:0060021;GO:0060411;GO:0048385;GO:0009055;GO:0030278;GO:0004745;GO:0001523;GO:0016616;GO:0052650;GO:0005789;GO:0016021;GO:0042622;GO:0060349;GO:0048387;GO:0000166,"outflow tract morphogenesis;lipid droplet;visual perception;retinol metabolic process;roof of mouth development;cardiac septum morphogenesis;regulation of retinoic acid receptor signaling pathway;electron transfer activity;regulation of ossification;NAD-retinol dehydrogenase activity;retinoid metabolic process;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;NADP-retinol dehydrogenase activity;endoplasmic reticulum membrane;integral component of membrane;photoreceptor outer segment membrane;bone morphogenesis;negative regulation of retinoic acid receptor signaling pathway;nucleotide binding",K11146,DHRS3,http://www.genome.jp/dbget-bin/www_bget?ko:K11146,Retinol metabolism,ko00830,KOG1201,Hydroxysteroid 17-beta dehydrogenase 11,sp|O75911|DHRS3_HUMAN,Short-chain dehydrogenase/reductase 3 OS=Homo sapiens OX=9606 GN=DHRS3 PE=1 SV=2
ADAMTS4,4595,0.08,0.15,0.16,0.37,0.48,0.34,-1.499020731,0.00751025,0.00751025,ADAMTS4,NP_001307265.1;XP_032116778.1;XP_017370582.1,A disintegrin and metalloproteinase with thrombospondin motifs 4 isoform 2 precursor [Homo sapiens];A disintegrin and metalloproteinase with thrombospondin motifs 4 isoform X1 [Sapajus apella];A disintegrin and metalloproteinase with thrombospondin motifs 4 isoform X1 [Cebus imitator],GO:0008237;GO:0005576;GO:0008233;GO:0001501;GO:0022617;GO:0002020;GO:0004222;GO:0046872;GO:0016607;GO:0031012;GO:0006508;GO:0062023;GO:0005615;GO:0030198;GO:0016021,metallopeptidase activity;extracellular region;peptidase activity;skeletal system development;extracellular matrix disassembly;protease binding;metalloendopeptidase activity;metal ion binding;nuclear speck;extracellular matrix;proteolysis;collagen-containing extracellular matrix;extracellular space;extracellular matrix organization;integral component of membrane,K07764,ADAMTS4,http://www.genome.jp/dbget-bin/www_bget?ko:K07764,-,-,-,-,sp|O75173|ATS4_HUMAN,A disintegrin and metalloproteinase with thrombospondin motifs 4 OS=Homo sapiens OX=9606 GN=ADAMTS4 PE=1 SV=3
SMN1-3,1497,3.16,3.22,1.27,7.37,12.06,10.68,-1.914143882,2.01E-10,2.01E-10,SMN1,XP_011541900.1;NP_075012.1;XP_011541903.1;NP_001284644.1;NP_000335.1;XP_011541898.1;XP_011541899.1;NP_075015.1,survival motor neuron protein isoform X4 [Homo sapiens];survival motor neuron protein isoform b [Homo sapiens];survival motor neuron protein isoform X4 [Homo sapiens];survival motor neuron protein isoform a [Homo sapiens];survival motor neuron protein isoform d [Homo sapiens];survival motor neuron protein isoform X1 [Homo sapiens];survival motor neuron protein isoform X3 [Homo sapiens];survival motor neuron protein isoform c [Homo sapiens],GO:0030137;GO:0005634;GO:0016604;GO:0005829;GO:0015030;GO:0000387;GO:0034719;GO:0030426;GO:0097504;GO:0043005;GO:0051170;GO:0010975;GO:0030424;GO:0003723;GO:0008380;GO:0000245;GO:0036464;GO:0043204;GO:0007399;GO:0030018;GO:0006353;GO:0042802;GO:0033120;GO:0007019;GO:0005737;GO:0005794;GO:0032797;GO:0007409;GO:0005654;GO:0006397,"COPI-coated vesicle;nucleus;nuclear body;cytosol;Cajal body;spliceosomal snRNP assembly;SMN-Sm protein complex;growth cone;Gemini of coiled bodies;neuron projection;import into nucleus;regulation of neuron projection development;axon;RNA binding;RNA splicing;spliceosomal complex assembly;cytoplasmic ribonucleoprotein granule;perikaryon;nervous system development;Z disc;DNA-templated transcription, termination;identical protein binding;positive regulation of RNA splicing;microtubule depolymerization;cytoplasm;Golgi apparatus;SMN complex;axonogenesis;nucleoplasm;mRNA processing",K13129,SMN,http://www.genome.jp/dbget-bin/www_bget?ko:K13129,-,-,KOG4327,mRNA splicing protein SMN (survival motor neuron),sp|Q16637|SMN_HUMAN,Survival motor neuron protein OS=Homo sapiens OX=9606 GN=SMN1 PE=1 SV=1
NF1,2889,0.76,0.17,0.36,0.19,0.08,0.37,2.371085143,0.003014985,0.003014985,NF1,XP_017919758.1;XP_017919759.1;XP_017919757.1,PREDICTED: neurofibromin isoform X2 [Capra hircus];PREDICTED: neurofibromin isoform X3 [Capra hircus];PREDICTED: neurofibromin isoform X1 [Capra hircus],GO:0045762;GO:0007154;GO:0030199;GO:0043087;GO:0048593;GO:0043525;GO:0007420;GO:0030425;GO:0005730;GO:0001952;GO:0048844;GO:0014065;GO:0008429;GO:0021897;GO:0043409;GO:0005737;GO:0001666;GO:0048853;GO:0005096;GO:0048147;GO:0001656;GO:0014044;GO:0031210;GO:0001937;GO:0050890;GO:0005634;GO:0008542;GO:0000165;GO:0001649;GO:0042060;GO:0045124;GO:0048745;GO:0043547;GO:0006469;GO:0030336;GO:0005829;GO:0048485;GO:0007265;GO:0007507;GO:0030198;GO:0022011;GO:0030424;GO:0007406;GO:0007422;GO:0030325;GO:0030036;GO:0043407;GO:0048715;GO:0043065;GO:0007165;GO:0001889;GO:0021510;GO:0021987;GO:0045685;GO:0016020;GO:0043473;GO:0043535;GO:0045765,positive regulation of adenylate cyclase activity;cell communication;collagen fibril organization;regulation of GTPase activity;camera-type eye morphogenesis;positive regulation of neuron apoptotic process;brain development;dendrite;nucleolus;regulation of cell-matrix adhesion;artery morphogenesis;phosphatidylinositol 3-kinase signaling;phosphatidylethanolamine binding;forebrain astrocyte development;negative regulation of MAPK cascade;cytoplasm;response to hypoxia;forebrain morphogenesis;GTPase activator activity;negative regulation of fibroblast proliferation;metanephros development;Schwann cell development;phosphatidylcholine binding;negative regulation of endothelial cell proliferation;cognition;nucleus;visual learning;MAPK cascade;osteoblast differentiation;wound healing;regulation of bone resorption;smooth muscle tissue development;positive regulation of GTPase activity;negative regulation of protein kinase activity;negative regulation of cell migration;cytosol;sympathetic nervous system development;Ras protein signal transduction;heart development;extracellular matrix organization;myelination in peripheral nervous system;axon;negative regulation of neuroblast proliferation;peripheral nervous system development;adrenal gland development;actin cytoskeleton organization;negative regulation of MAP kinase activity;negative regulation of oligodendrocyte differentiation;positive regulation of apoptotic process;signal transduction;liver development;spinal cord development;cerebral cortex development;regulation of glial cell differentiation;membrane;pigmentation;regulation of blood vessel endothelial cell migration;regulation of angiogenesis,K08052,NF1,http://www.genome.jp/dbget-bin/www_bget?ko:K08052,MAPK signaling pathway;Ras signaling pathway;EGFR tyrosine kinase inhibitor resistance,"ko04010,ko04014,ko01521",KOG1826,Ras GTPase activating protein RasGAP/neurofibromin,sp|P21359|NF1_HUMAN,Neurofibromin OS=Homo sapiens OX=9606 GN=NF1 PE=1 SV=2
